ID;Nome;Email;Telefone;Data_Nascimento;Endereço
1;Maria da Silva;mdasilva@email.com;11987654321;1985-03-25;Rua das Flores, 123
2;João Pereira;jpereira@email.com;11987654322;1990-07-15;Av. Central, 456
3;Ana Costa;acosta@email.com;11987654323;1982-11-10;Praça da Liberdade, 789
4;Carlos Oliveira;coliveira@email.com;11987654324;1975-05-05;Rua do Sol, 101
5;Beatriz Almeida;balmeida@email.com;11987654325;2000-01-20;Rua das Palmeiras, 202
6;Ricardo Santos;rsantos@email.com;11987654326;1988-09-30;Av. das Américas, 303
7;Fernanda Lima;flima@email.com;11987654327;1995-12-12;Rua da Esperança, 404
8;Gabriel Souza;gsouza@email.com;11987654328;1992-06-18;Av. Paulista, 505
9;Juliana Ferreira;jferreira@email.com;11987654329;1987-08-08;Rua das Hortênsias, 606
10;Pedro Martins;pmartins@email.com;11987654330;1980-02-28;Rua das Orquídeas, 707
